PETR4, 0.6, 0.8, 0.7
VALE3, 0.5, 0.9, 0.6
ITUB4, 0.4, 0.7, 0.8
BBDC4, 0.4, 0.7, 0.9
BBAS3, 0.3, 0.8, 0.8
WEGE3, 0.5, 0.6, 0.7
ABEV3, 0.3, 0.5, 0.9
MGLU3, 0.7, 0.9, 0.4
GGBR4, 0.5, 0.7, 0.6
RENT3, 0.4, 0.8, 0.8
BRFS3, 0.5, 0.6, 0.5
BRAP4, 0.4, 0.8, 0.6
LREN3, 0.3, 0.7, 0.8
SBSP3, 0.2, 0.5, 0.9
ELET3, 0.4, 0.6, 0.7
ELET6, 0.4, 0.7, 0.8
TOTS3, 0.5, 0.8, 0.6
VIVT3, 0.3, 0.6, 0.7
BRKM5, 0.6, 0.7, 0.5
RAIL3, 0.4, 0.9, 0.6
BEEF3, 0.5, 0.7, 0.6
EQTL3, 0.3, 0.6, 0.8
CMIG4, 0.3, 0.7, 0.8
MULT3, 0.5, 0.8, 0.6
HYPE3, 0.3, 0.6, 0.7
MRFG3, 0.6, 0.7, 0.5
PRIO3, 0.7, 0.8, 0.6
CPLE6, 0.3, 0.7, 0.8
USIM5, 0.6, 0.8, 0.5
CSNA3, 0.6, 0.7, 0.5
CCRO3, 0.4, 0.7, 0.7
BPAC11, 0.3, 0.9, 0.8
YDUQ3, 0.5, 0.7, 0.6
CYRE3, 0.6, 0.8, 0.5
EZTC3, 0.5, 0.7, 0.6
DIRR3, 0.7, 0.9, 0.4
HAPV3, 0.4, 0.7, 0.8
FLRY3, 0.3, 0.6, 0.8
RADL3, 0.3, 0.5, 0.9
CSMG3, 0.4, 0.6, 0.7
EMBR3, 0.7, 0.9, 0.5
SULA11, 0.5, 0.6, 0.8
ENBR3, 0.4, 0.7, 0.7
B3SA3, 0.4, 0.8, 0.8
SLCE3, 0.6, 0.7, 0.6
ALPA4, 0.5, 0.6, 0.6
ARZZ3, 0.4, 0.7, 0.8
CVCB3, 0.6, 0.8, 0.5
LAME4, 0.5, 0.7, 0.6
HGTX3, 0.4, 0.6, 0.8
VVAR3, 0.7, 0.9, 0.4
